,id,query,related_url,title,arbitration
0,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/20838244,Difference between buffered reader and file reader and scanner class,1
1,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/28977308,Read all lines with BufferedReader,1
2,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/17174752,BufferedReader input attempt from System.in throwing exceptions,0
3,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/5086549,buffered reader and scanner,0
4,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/18749947,Convert BufferedReader to InputStream,0
5,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/15849929,Buffered Reader Change,0
6,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/31824567,read() method of BufferedReader and InputStreamReader,1
7,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/15055732,Error using Buffered Reader,0
8,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/31687813,How do I use BufferedReader to read lines from a txt file into an array,0
9,22216398,Can BufferedReader read bytes?,https://stackoverflow.com/questions/6993218,Java 7: What charset shall I use when calling Files.newBufferedReader?,0
10,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/10601676,Display a webpage inside a swing application,0
11,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/34412364,Display webpage inside swing application,0
12,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/5329635,Desktop application on Java,0
13,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/651470,How to convert a Swing Application to an Applet?,0
14,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/15149728,Java Web Services: Getting HTTP 400 with generated client code in simple app,0
15,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/11852942,Add an image to a Swing application,0
16,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/17365378,Display Java System Properties with Swing,0
17,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/667416,Display CMD output in my GUI (java),0
18,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/18892360,How to run Java Swing Application outside IDE,0
19,6190127,How do I write logs and display them real-time in a Java Swing application?,https://stackoverflow.com/questions/24363503,Converting a console app to a swing app,0
20,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/31423037,java.lang.NoSuchMethodError: org.eclipse.persistence.oxm.XMLUnmarshaller.setNamespaceResolver(Lorg/eclipse/persistence/oxm/NamespaceResolver;),0
21,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/22167945,java.lang.NoSuchMethodError: javax.persistence.spi.PersistenceUnitInfo.getValidationMode()Ljavax/persistence/ValidationMode;,0
22,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/18231134,How to avoid java.lang.NoSuchMethodError: org.apache.poi.util.IOUtils.copy(Ljava/io/InputStream;Ljava/io/OutputStream;) in Apache POI,0
23,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/24380857,Spring Data java.lang.NoSuchMethodError,0
24,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/1617042,java.lang.NoSuchMethodError: org.apache.http.protocol.BasicHttpContext: method <init>()V not found,0
25,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/12070514,JMock- java.lang.NoSuchMethodError: org.hamcrest.Matcher.describeMismatch(),0
26,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/14356013,java.lang.NoSuchMethodError: org.hibernate.SessionFactory.getCurrentSession()Lorg/hibernate/classic/Session;,0
27,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/4160904,Show .png image in a JFrame?,0
28,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/17602988,java.lang.NoSuchMethodError: org.eclipse.jdt.internal.compiler.CompilationResult,0
29,8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,https://stackoverflow.com/questions/6200414,java.lang.NoSuchMethodError: java.lang.NoSuchMethodError,0
