,url,title,body,arbitration
0,https://stackoverflow.com/questions/22216398,Can BufferedReader read bytes?,Sorry if this question is a dulplicate but I didn't get an answer I was looking for. Java docs says this: -CODE- . -CODE- . -CODE- . [1]My first question is If bufferedReader can read bytes then why can't we work on images which are in bytes using bufferedreader.. [2]My second question is Does Bufferedreader store characters in BUFFER and what is the meaning of this line. -CODE- . [1]My third question is what is the meaning of this line. -CODE- . ,1
1,https://stackoverflow.com/questions/6190127,How do I write logs and display them real-time in a Java Swing application?,I have created a GUI program that uses a class to perform some tasks. I would like to add logging in both the JFrame and the class. Logs should be kept in a file and displayed in a JTextArea concurrently. What is a convient solution for this? ,1
2,https://stackoverflow.com/questions/6475927,Maven POM-Editor: Dependency Graph missing,"In Eclipse Helios I have the nice feature of a dependency graph inside the maven pom editor. But in later installations (Helios-sr2 and Indigo) this feature is missing. Does anybody know how to activate this? (I'm using OSX, 64bit cocoa) ",0
3,https://stackoverflow.com/questions/8969497,  java.lang.NoSuchMethodError: javax.servlet.ServletContext.getEffectiveSessionTrackingModes()Ljava/util/Set; ,"i want to have a servlet to process inputs from a standalone java program. how to deploy this servlet in jboss. I put the servlet.class file in WEB-INF/classes and in web.xml i gave the servlet url mapping as "".do"". From my Java client program i opened connected to the servlet using a URL object. using localhost:8080/.do. BUT i am getting the folowing error: -CODE- . web.xml file contents : -CODE- . ",1
4,https://stackoverflow.com/questions/15315213,Why do I keep getting java.net.ConnectException in my Android application?,"I have recently refactored some of my networking code in my android app to use the Google recommended HTTPUrlConnection. Previously, I was using Apache's HTTPClient. I'm not sure if either of those things are relevant. The other thing I have recently done to my networking code is use AsyncTask for the calls. Previously I was just doing work on the main thread (obviously bad) and so my application would appear to hang when fetching data. The thing is, since switching to AsyncTask, I have pretty regularly experienced timeout errors. Why do I get this timeout error? -CODE- . Here is my AsyncTask that makes the network call. -CODE- . EDIT: I thought this only occurred during one particular network call but I've now experienced it at various places. EDIT 2: Looking at this again I found this and I think that's more of my problem. This didn't exist before I implemented Android AsyncTask for the network calls. I think that AsyncTask is somehow screwing up with threading and causing the timeouts. ",1
5,https://stackoverflow.com/questions/30092041,Printing out with Byte[] Java,"I am having an issue with the use of FileOutputStream.write. I guess it does not let me write to a file using a String, so I tried changing the string to the primitive data type Byte[]. Now when I try to print it out, using the following for loop, it prints out result the as many times as the input is long. Say I have 21345, instead of just printing out 21345 if prints out this below: 21345 21345 21345 21345 21345: -CODE- . EDIT: I was reading Byte as an array, so I thought I had to loop through each position on Byte, to output the code. I just deleted the for loop which solved the problem. ",1
6,https://stackoverflow.com/questions/11260746,Algorithm and Hint for Scientific Calculator,"I have a Scientific Calculator project using Java Swing. but, I ended up in wrong calculation. Example: If push button: 1 then + then 2 then * then 3 the answer is 9, not 7. Could you give me a hint, I must use what classes? And how about the algorithm to make it right answer? Thank you: -CODE- . ",0
7,https://stackoverflow.com/questions/6243242,Testing API which returns multiple values with JUnit,"I would like to test an API, which received one argument and returns a set. The test invokes the API with an argument and checks if the returned set contains expected values. Suppose, I have to test the API with arguments arg1, arg2, and arg3 and check if values a, b, c appear in the returned set. That is, my test case looks as follows: [1]invoke the API with arg1 and check if a, b, c appear in the returned set.. [2]invoke the API with arg2 and check if a, b, c appear in the returned set.. [3]invoke the API with arg3 and check if a, b, c appear in the returned set.. How to develop this test case with Junit 4 ? What if I have to add arg4 ? What if I have to check if value d appear in the returned set ? Can I read the list of arguments and expected values from the configuration? ",1
8,https://stackoverflow.com/questions/5348310,"How to inject a Map<String, List> in java springs?",How to inject a Map in java spring framework? If possible please provide some sample code. Is the following legal? -CODE- . ,0
9,https://stackoverflow.com/questions/9457900,How to get JScrollPanes within a JScrollPane to follow parent's resizing,"So I have a bunch of JTables. Each JTable is inside a JScrollPane. I'm then adding each of these JScrollPanes to a JPanel. I'm then adding this JPanel to a JScrollPane then that to another JPanel with BorderLayout. The larger JScrollPane properly resizes with its parent, but each of the smaller JScrollPanes have constant height, which is larger than the window when it is small. How can I get each of the children JScrollPanes to resize with the height of the window/their parent? I've tried adding more intermediary JPanels with FlowLayout, BorderLayout, and nothing seems to work. Here's some relevant code: -CODE- . I'm really just trying to get a bunch of tables with scrollbars horizontally next to each other inside a larger panel with a horizontal scrollbar. And I want all that stuff to resize appropriately when the window size changes. more code: -CODE- . ",1
10,https://stackoverflow.com/questions/23218025,How to convert String into DateFormat in java?,I am working on Java. I have a String and I want to convert it into Date Format. Please see the lines of code for more details. -CODE- . I want to convert it into the below Date: -CODE- . How can I do this? ,1
11,https://stackoverflow.com/questions/18575022,Calculating time diffrence,I am trying to calculate time diffrence between dates: -CODE- . For some reason i cant understand the example i show give a negetive output even though the end date is after the start date. Any ideas? ,1
12,https://stackoverflow.com/questions/19474060,i and j not being initialized. But I already wrote int i and int j. What is wrong,"When I try to compile it, Eclipse says that i and j has not been initialized. What am I doing wrong? The question is about creating a circle. -CODE- . ",0
13,https://stackoverflow.com/questions/26747283,WMQ JMS API SSL Sun JDK and SSL_RSA_WITH_AES_128_CBC_SHA,"How do I get a JMS Client using SSL_RSA_WITH_AES_128_CBC_SHA (in the queue connection factory) to connect to a server using TLS_RSA_WITH_AES_128_CBC_SHA. [1]Client Sun JDK 7 win. [2]Server IBM Power (i) . [3]MQ version 7.1 on the server. [4]MQ version 7.5.0.4 on the client . [5]Connections with MQ Explorer works fine . [6]the below code works with the ibm JDK C:\Program Files\IBM\WebSphere MQ Explorer\jre\jre\bin. [7]the below code does not work with ""C:\Program Files\Java\jdk1.7.0_67\bin with Java Cryptography Extension (JCE) Unlimited Strength Jurisdiction Policy Files 7 Download installed . Code: -CODE- . Gives me: -CODE- . ",1
14,https://stackoverflow.com/questions/23479882,Reason for java.lang.Integer.IntegerCache between -128 and 127?,java.lang.Integer has an internal cache (IntegerCache) that optimizes access to numbers between -128 to 127. The question is why only between these numbers? Why not -256 to 255? ,1
15,https://stackoverflow.com/questions/28808268,Why The methods in Object Class Are Protected?,Why the Methods In class Object Are Protected And why its not public is there any valid reason? -CODE- . ,0
16,https://stackoverflow.com/questions/10130819,"Use JNI to Create, Populate and Return a Java Class Instance","I'm trying to use a JNI function to create a Java class and set some properties of that class using the DeviceId.java constructor method. I'm able to get the constructor method using the GetMethodID, but how would I create a new instance of Device.java and then set the properties (setId and setCache). The goal is to return a fully populated instance of Device.java Object to the caller. Any ideas? JNI Function: -CODE- . Java Class: -CODE- . ",0
17,https://stackoverflow.com/questions/13763413,JDBC Connection from play app,"I'm trying to establish a connection to an oracle database from an app written with play framework 2.0.4 and getting an SQLException (No suitable driver found for jdbc:oracle:thin:@....) when opening an connection. I'm using code that works fine standealone and the connection string in the exception is ok too (even tested it in 'Execute Query' and it worked). Play can even find my driver, because i have this statement at the beginning of my code which would throw a NoClassDefFound exception if the class was missing: -CODE- . And the oracle driver in my lib directory is the same as i'm using in my sample app, ExecuteQuery, JBoss, etc. What am i doing wrong? Here another snippet from my code: -CODE- . PS: The db I want to access in this way is not my main database where i store my application data, but only a external read only datasource... Thanks for any hints. Edit: The problem is solved now, but i have no clue how :\ I just ran my code in order to read the error message agan, but i'm not getting any error anymore. The only idea that i have is that last week when i didn't get it to work i did not restart the play console but only my app!?! Maybe this can be the reason?! Edit2: Still happens from time to time without changing my set up but as soon as i restart my app it works again :) ",1
18,https://stackoverflow.com/questions/5388426,JSF 2.0 set locale throughout session from browser and programmatically,How do I detect the locale for an application based on the initial browser request and use it throughout the browsing session untill the user specifically changes the locale and how do you force this new locale through the remaining session? ,1
19,https://stackoverflow.com/questions/14523117,Catch-all URL rewrite on Google App Engine (Java),"I'm trying to create a short URL for a GAE app, so I used UrlRewriteFilter, but I can't get it set up correctly. Basically, the user is given this: [1]test.com/012a-bc. and the page that they should be redirected to is . [1]test.com/vote.jsp?id=012a-bc. At the moment it's working with the urlrewrite.xml file like this: -CODE- . The problem is that all URLs now redirect to this, so for example. [1]test.com/thankyou.jsp?id=0123. still runs the page at vote.jsp. What should I do to get it to redirect only when the URL isn't found? ",1
20,https://stackoverflow.com/questions/15486657,How to iterate through columns [rows] of a multi dimensional array,"I am using a multi-dimensional array to store the total amount of product sold (products range 1 to 5) by a particular salesperson (1 to 4 salespersons). T arranged the salesPersons in rows 1 to 4, and Product IDs in columns 1 to 5. Only thing I can not do is iterate exclusively through the rows to get the total of each product ie column 1: sum of rows 1 to 4= Total product 1, column 2: sum of rows 1 to 4= product2 Total etc. See test salesTest application code followed by the class Sales: -CODE- . ",0
21,https://stackoverflow.com/questions/23057456,Is there an equivalent to ASP.NET WEB API in JAVA world?,"I've been a .NET web developer for several years now, working with asp.net web forms and c#, wcf etc.But recently developed touch enabled customer facing application. Its device-agnostic application designed for any platform capable of running HTML5 applications (iOS, Android, Windows8), for Mobile devices (such as tablets), Assisted or unassisted kiosks, Laptop or desktop computers. we used asp.net webapi, ASP.net MVC 4.0 framework, Jquery mobile libraries, HTML 5, signal R for development. Is it possible for us to migrate or convert complete server side code(i.e controllers methods) under Java? Does Apache tomcat server or (webspehere) supports verbs like PUT, DELETE inaddition to GET and POST? Any thing available in Java world which is equivalent ASP.NET SignalR functionality? what are the required softwares or libraries for developing device aganostic touch enabled applications in java? I think Web API objectively wins out over other APIs in below few key areas. Content negotiation, Flexibility, Separation of concerns. How much extent Spring MVC API or Jersey API will support the above areas? ",1
22,https://stackoverflow.com/questions/15462994,bundled jar with jre into exe but the exe does not contain jre,,0
23,https://stackoverflow.com/questions/11450727,Sending file in chunks in Java,I got this client application that sends my file fully to server. But I want it to send file in chunks. Here is my client code: -CODE- . So how can I make client send my file in chunks? Thanks in advance. ,1
24,https://stackoverflow.com/questions/25428573,How to dynamically split a comma separated string into String arrays splitting on nth comma?,"My Java webservice's input is a comma separated list of strings (""ABC1,ABCD2,A1,A234B456,C1""). If my split threshold is 2 then I need to split it as . ABC1,ABCD2 A1,A234B456 C1. If my split threshold is 3 then I need to split it as ABC1,ABCD2,A1 A234B456,C1. I'm trying to figure out a Java regex way of doing this. I tried checking out StringUtils API but no luck. ",1
25,https://stackoverflow.com/questions/34991534,docker build with internal maven dependency hosted on github,,0
26,https://stackoverflow.com/questions/6343295,Java XML create,"I'm trying to get an attribute id (fileID) from my XML document to use as the filename for my XML split. The split works I just need to extract the fileID to use as the name. [EDITED] I can read the attribute now but it doesn't create the last xml file. So in my example it create the first 2 files with the correct name but last fileID ""000154OP.XML"" isn't created. Can Anyone Help? This is my xml document: -CODE- . And here's my Java code : -CODE- . ",1
27,https://stackoverflow.com/questions/33311144,SimpleDateFormat behaviour change in Android Marshmallow,"I have encountered an issue with date formatting on Android 6.0, Marshmallow. The code throwing the exception noted below is a pure-Java library (built separately) which my application uses for API requests (""the client""). The library is built with Java 1.6 if that is related...anyway, here is the code; -CODE- . ...the record has value; -CODE- . ...which after ""trimming"" is; -CODE- . This code has worked since the good-old days of Froyo and is unit-tested. All that aside Marshmallow throws the exception; -CODE- . Offset ""21"" is the space after the '9' in 10:59. Can anyone explain this failure? Update. Switched over to joda-time and it spat out a more informative error message. Here it is; -CODE- . ...so, this is about the AM/PM aspect of the string trying to be parsed - back to the docs. ",1
