url,sentence,title,body,arbitration
https://stackoverflow.com/questions/20722120,-CODE- .,System.out.println vs PrintWriter,Is there a difference in using these two? When would you use one over the other? -CODE- . OR: -CODE- .,no
https://stackoverflow.com/questions/20722120,OR,System.out.println vs PrintWriter,Is there a difference in using these two? When would you use one over the other? -CODE- . OR: -CODE- .,no
https://stackoverflow.com/questions/20722120,: -CODE- .,System.out.println vs PrintWriter,Is there a difference in using these two? When would you use one over the other? -CODE- . OR: -CODE- .,no
https://stackoverflow.com/questions/14846920,What are some of the situations where I can use Collections.emptyMap() ?,Collections.emptyMap() vs new HashMap(),What are some of the situations where I can use Collections.emptyMap() ? The Documentation says I can use this method if I want my collection to be immutable. Why would I want an immutable empty collection? What is the point?,no
https://stackoverflow.com/questions/14846920,The Documentation says I can use this method if I want my collection to be immutable.,Collections.emptyMap() vs new HashMap(),What are some of the situations where I can use Collections.emptyMap() ? The Documentation says I can use this method if I want my collection to be immutable. Why would I want an immutable empty collection? What is the point?,no
https://stackoverflow.com/questions/14846920,Why would I want an immutable empty collection?,Collections.emptyMap() vs new HashMap(),What are some of the situations where I can use Collections.emptyMap() ? The Documentation says I can use this method if I want my collection to be immutable. Why would I want an immutable empty collection? What is the point?,no
https://stackoverflow.com/questions/14846920,What is the point?,Collections.emptyMap() vs new HashMap(),What are some of the situations where I can use Collections.emptyMap() ? The Documentation says I can use this method if I want my collection to be immutable. Why would I want an immutable empty collection? What is the point?,no
https://stackoverflow.com/questions/1904072,"Java question: As far as I know, there are two ways to check inside a thread whether the thread received an interrupt signal, Thread.interrupted() and Thread.isInterrupted(), and the only difference between them is that the former resets the internal interrupted flag.",Java: Difference in usage between Thread.interrupted() and Thread.isInterrupted()?,"Java question: As far as I know, there are two ways to check inside a thread whether the thread received an interrupt signal, Thread.interrupted() and Thread.isInterrupted(), and the only difference between them is that the former resets the internal interrupted flag. So far, I've always used Thread.isInterrupted() and never had any problems with it. Then again, most tutorials I've seen recommend using Thread.interrupted(). Is there any specific reason for that?",yes
https://stackoverflow.com/questions/1904072,"So far, I've always used Thread.isInterrupted() and never had any problems with it.",Java: Difference in usage between Thread.interrupted() and Thread.isInterrupted()?,"Java question: As far as I know, there are two ways to check inside a thread whether the thread received an interrupt signal, Thread.interrupted() and Thread.isInterrupted(), and the only difference between them is that the former resets the internal interrupted flag. So far, I've always used Thread.isInterrupted() and never had any problems with it. Then again, most tutorials I've seen recommend using Thread.interrupted(). Is there any specific reason for that?",no
https://stackoverflow.com/questions/1904072,"Then again, most tutorials I've seen recommend using Thread.interrupted().",Java: Difference in usage between Thread.interrupted() and Thread.isInterrupted()?,"Java question: As far as I know, there are two ways to check inside a thread whether the thread received an interrupt signal, Thread.interrupted() and Thread.isInterrupted(), and the only difference between them is that the former resets the internal interrupted flag. So far, I've always used Thread.isInterrupted() and never had any problems with it. Then again, most tutorials I've seen recommend using Thread.interrupted(). Is there any specific reason for that?",no
https://stackoverflow.com/questions/1904072,Is there any specific reason for that?,Java: Difference in usage between Thread.interrupted() and Thread.isInterrupted()?,"Java question: As far as I know, there are two ways to check inside a thread whether the thread received an interrupt signal, Thread.interrupted() and Thread.isInterrupted(), and the only difference between them is that the former resets the internal interrupted flag. So far, I've always used Thread.isInterrupted() and never had any problems with it. Then again, most tutorials I've seen recommend using Thread.interrupted(). Is there any specific reason for that?",no
